,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.506,0.493,8,-7.759,1,0.0427,0.798,0.00355,0.307,0.584,134.77,audio_features,6ZgaUtMlUzUf7SqbUUnfbu,spotify:track:6ZgaUtMlUzUf7SqbUUnfbu,https://api.spotify.com/v1/tracks/6ZgaUtMlUzUf7SqbUUnfbu,https://api.spotify.com/v1/audio-analysis/6ZgaUtMlUzUf7SqbUUnfbu,644013,4
1,0.623,0.403,5,-11.121,0,0.0426,0.451,1.13e-05,0.448,0.631,93.911,audio_features,34xixFi5y3I5FIOH1ZWisx,spotify:track:34xixFi5y3I5FIOH1ZWisx,https://api.spotify.com/v1/tracks/34xixFi5y3I5FIOH1ZWisx,https://api.spotify.com/v1/audio-analysis/34xixFi5y3I5FIOH1ZWisx,396960,4
2,0.654,0.334,8,-12.662,1,0.0521,0.702,0.714,0.114,0.697,81.544,audio_features,2oMaXY0yiWhAEWD7SutXh2,spotify:track:2oMaXY0yiWhAEWD7SutXh2,https://api.spotify.com/v1/tracks/2oMaXY0yiWhAEWD7SutXh2,https://api.spotify.com/v1/audio-analysis/2oMaXY0yiWhAEWD7SutXh2,410667,4
3,0.418,0.227,4,-15.537,0,0.0379,0.912,0.822,0.0956,0.21,103.586,audio_features,4N6JkrGD78eLooaTDmwo9s,spotify:track:4N6JkrGD78eLooaTDmwo9s,https://api.spotify.com/v1/tracks/4N6JkrGD78eLooaTDmwo9s,https://api.spotify.com/v1/audio-analysis/4N6JkrGD78eLooaTDmwo9s,395560,4
4,0.587,0.673,10,-7.858,1,0.0509,0.744,0.00618,0.0721,0.788,123.407,audio_features,5f0n6K8hW2RIVXuZjxO0bu,spotify:track:5f0n6K8hW2RIVXuZjxO0bu,https://api.spotify.com/v1/tracks/5f0n6K8hW2RIVXuZjxO0bu,https://api.spotify.com/v1/audio-analysis/5f0n6K8hW2RIVXuZjxO0bu,385867,4
5,0.473,0.67,8,-7.756,1,0.0353,0.446,3.15e-06,0.0957,0.808,152.484,audio_features,1dZHIbmuBDAwXfQOM4dyM3,spotify:track:1dZHIbmuBDAwXfQOM4dyM3,https://api.spotify.com/v1/tracks/1dZHIbmuBDAwXfQOM4dyM3,https://api.spotify.com/v1/audio-analysis/1dZHIbmuBDAwXfQOM4dyM3,625293,4
6,0.541,0.607,0,-8.435,1,0.0438,0.727,0.442,0.0997,0.754,104.96,audio_features,0zQE77yszbyv61M4NboU2u,spotify:track:0zQE77yszbyv61M4NboU2u,https://api.spotify.com/v1/tracks/0zQE77yszbyv61M4NboU2u,https://api.spotify.com/v1/audio-analysis/0zQE77yszbyv61M4NboU2u,406267,4
7,0.612,0.493,5,-8.589,0,0.0467,0.804,0.266,0.202,0.484,126.358,audio_features,4Vkk3iD1VrENHJEACNddvt,spotify:track:4Vkk3iD1VrENHJEACNddvt,https://api.spotify.com/v1/tracks/4Vkk3iD1VrENHJEACNddvt,https://api.spotify.com/v1/audio-analysis/4Vkk3iD1VrENHJEACNddvt,570720,4
8,0.517,0.151,0,-17.266,1,0.0373,0.705,0.00136,0.116,0.21,136.356,audio_features,4vLYewWIvqHfKtJDk8c8tq,spotify:track:4vLYewWIvqHfKtJDk8c8tq,https://api.spotify.com/v1/tracks/4vLYewWIvqHfKtJDk8c8tq,https://api.spotify.com/v1/audio-analysis/4vLYewWIvqHfKtJDk8c8tq,562640,4
9,0.406,0.208,1,-13.767,0,0.0413,0.962,0.929,0.181,0.291,102.778,audio_features,4WU6x0MauVlAkpV6aTX4FM,spotify:track:4WU6x0MauVlAkpV6aTX4FM,https://api.spotify.com/v1/tracks/4WU6x0MauVlAkpV6aTX4FM,https://api.spotify.com/v1/audio-analysis/4WU6x0MauVlAkpV6aTX4FM,368107,4
10,0.416,0.201,8,-11.461,1,0.0379,0.975,0.803,0.107,0.372,165.869,audio_features,6MXrGG7nff0FXBQJa5UF9P,spotify:track:6MXrGG7nff0FXBQJa5UF9P,https://api.spotify.com/v1/tracks/6MXrGG7nff0FXBQJa5UF9P,https://api.spotify.com/v1/audio-analysis/6MXrGG7nff0FXBQJa5UF9P,339333,3
11,0.394,0.441,8,-14.237,1,0.0371,0.692,0.0375,0.105,0.629,90.058,audio_features,3AJSnSiVDz37q85LP2Rop0,spotify:track:3AJSnSiVDz37q85LP2Rop0,https://api.spotify.com/v1/tracks/3AJSnSiVDz37q85LP2Rop0,https://api.spotify.com/v1/audio-analysis/3AJSnSiVDz37q85LP2Rop0,378960,4
12,0.611,0.291,2,-18.392,1,0.0647,0.765,0.000133,0.0571,0.534,83.443,audio_features,2EW1mFJaikQh0vxOoB7uGp,spotify:track:2EW1mFJaikQh0vxOoB7uGp,https://api.spotify.com/v1/tracks/2EW1mFJaikQh0vxOoB7uGp,https://api.spotify.com/v1/audio-analysis/2EW1mFJaikQh0vxOoB7uGp,283740,4
13,0.428,0.0768,0,-17.412,0,0.0413,0.774,0.0487,0.123,0.112,107.712,audio_features,013grywiX7Qu6WVfnJ1opa,spotify:track:013grywiX7Qu6WVfnJ1opa,https://api.spotify.com/v1/tracks/013grywiX7Qu6WVfnJ1opa,https://api.spotify.com/v1/audio-analysis/013grywiX7Qu6WVfnJ1opa,308933,4
14,0.519,0.379,9,-14.368,1,0.0353,0.407,0.288,0.161,0.598,139.749,audio_features,2JdllRPH6a8NCpt2bpxpns,spotify:track:2JdllRPH6a8NCpt2bpxpns,https://api.spotify.com/v1/tracks/2JdllRPH6a8NCpt2bpxpns,https://api.spotify.com/v1/audio-analysis/2JdllRPH6a8NCpt2bpxpns,729760,4
