,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,audio_features,1tkg4EHVoqnhR6iFEXb60y,spotify:track:1tkg4EHVoqnhR6iFEXb60y,https://api.spotify.com/v1/tracks/1tkg4EHVoqnhR6iFEXb60y,https://api.spotify.com/v1/audio-analysis/1tkg4EHVoqnhR6iFEXb60y,160000,4
1,0.954,0.607,0,-8.725,0,0.214,0.0621,0.0,0.104,0.46,103.988,audio_features,6S6FVfLInBO3NcC1BsJPYv,spotify:track:6S6FVfLInBO3NcC1BsJPYv,https://api.spotify.com/v1/tracks/6S6FVfLInBO3NcC1BsJPYv,https://api.spotify.com/v1/audio-analysis/6S6FVfLInBO3NcC1BsJPYv,144091,4
2,0.399,0.492,6,-10.777,0,0.0538,0.058,0.00101,0.11,0.159,91.066,audio_features,1fah1uAs7HeTYDlNftKr3K,spotify:track:1fah1uAs7HeTYDlNftKr3K,https://api.spotify.com/v1/tracks/1fah1uAs7HeTYDlNftKr3K,https://api.spotify.com/v1/audio-analysis/1fah1uAs7HeTYDlNftKr3K,210463,4
3,0.834,0.663,8,-6.143,1,0.133,0.235,0.0,0.372,0.774,121.876,audio_features,0AUvWawuP0ibk4SQ3sIZjk,spotify:track:0AUvWawuP0ibk4SQ3sIZjk,https://api.spotify.com/v1/tracks/0AUvWawuP0ibk4SQ3sIZjk,https://api.spotify.com/v1/audio-analysis/0AUvWawuP0ibk4SQ3sIZjk,146523,4
4,0.839,0.683,10,-9.232,0,0.165,0.00667,0.0,0.241,0.522,120.003,audio_features,0wYOlCybpxFc2azWLyYj0S,spotify:track:0wYOlCybpxFc2azWLyYj0S,https://api.spotify.com/v1/tracks/0wYOlCybpxFc2azWLyYj0S,https://api.spotify.com/v1/audio-analysis/0wYOlCybpxFc2azWLyYj0S,159955,4
5,0.736,0.279,9,-16.926,0,0.903,0.65,0.000312,0.246,0.476,76.431,audio_features,2RrZbxdl9nuFMCrO71tXTG,spotify:track:2RrZbxdl9nuFMCrO71tXTG,https://api.spotify.com/v1/tracks/2RrZbxdl9nuFMCrO71tXTG,https://api.spotify.com/v1/audio-analysis/2RrZbxdl9nuFMCrO71tXTG,154550,4
6,0.777,0.495,4,-12.427,0,0.175,0.333,7.7e-06,0.11,0.409,125.966,audio_features,6NwyHRfUVnUBUZW9W5McAZ,spotify:track:6NwyHRfUVnUBUZW9W5McAZ,https://api.spotify.com/v1/tracks/6NwyHRfUVnUBUZW9W5McAZ,https://api.spotify.com/v1/audio-analysis/6NwyHRfUVnUBUZW9W5McAZ,141129,4
7,0.743,0.841,0,-5.189,1,0.0391,0.0156,0.0,0.133,0.814,100.003,audio_features,5hGSM1NIumwLgI0Y97X9xB,spotify:track:5hGSM1NIumwLgI0Y97X9xB,https://api.spotify.com/v1/tracks/5hGSM1NIumwLgI0Y97X9xB,https://api.spotify.com/v1/audio-analysis/5hGSM1NIumwLgI0Y97X9xB,226800,4
8,0.487,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,audio_features,6IBcOGPsniK3Pso1wHIhew,spotify:track:6IBcOGPsniK3Pso1wHIhew,https://api.spotify.com/v1/tracks/6IBcOGPsniK3Pso1wHIhew,https://api.spotify.com/v1/audio-analysis/6IBcOGPsniK3Pso1wHIhew,232533,4
9,0.711,0.592,4,-7.136,0,0.23,0.758,0.0,0.156,0.535,124.749,audio_features,6HlE9t71z9DjGi7KqSyEpA,spotify:track:6HlE9t71z9DjGi7KqSyEpA,https://api.spotify.com/v1/tracks/6HlE9t71z9DjGi7KqSyEpA,https://api.spotify.com/v1/audio-analysis/6HlE9t71z9DjGi7KqSyEpA,141224,4
10,0.923,0.569,6,-14.876,0,0.31,0.188,0.0726,0.122,0.788,127.182,audio_features,0S7WlAeGkC5XlslNyHPuM5,spotify:track:0S7WlAeGkC5XlslNyHPuM5,https://api.spotify.com/v1/tracks/0S7WlAeGkC5XlslNyHPuM5,https://api.spotify.com/v1/audio-analysis/0S7WlAeGkC5XlslNyHPuM5,194829,4
11,0.913,0.625,10,-6.901,0,0.334,0.0168,0.0,0.125,0.298,126.915,audio_features,7HbnX1fxCAoPa7nRVFSEFW,spotify:track:7HbnX1fxCAoPa7nRVFSEFW,https://api.spotify.com/v1/tracks/7HbnX1fxCAoPa7nRVFSEFW,https://api.spotify.com/v1/audio-analysis/7HbnX1fxCAoPa7nRVFSEFW,177704,4
12,0.572,0.89,6,-4.139,0,0.039,0.00082,0.00937,0.564,0.765,158.038,audio_features,11dxtPJKR4E0wlSr0A0t47,spotify:track:11dxtPJKR4E0wlSr0A0t47,https://api.spotify.com/v1/tracks/11dxtPJKR4E0wlSr0A0t47,https://api.spotify.com/v1/audio-analysis/11dxtPJKR4E0wlSr0A0t47,219773,4
13,0.87,0.752,4,-6.615,1,0.372,0.0352,1.1e-06,0.269,0.591,145.118,audio_features,0YYNIGKgAk34vZkV2NySie,spotify:track:0YYNIGKgAk34vZkV2NySie,https://api.spotify.com/v1/tracks/0YYNIGKgAk34vZkV2NySie,https://api.spotify.com/v1/audio-analysis/0YYNIGKgAk34vZkV2NySie,178834,4
14,0.311,0.485,6,-5.726,0,0.0365,0.701,0.0,0.0726,0.225,77.355,audio_features,55Am8neGJkdj2ADaM3aw5H,spotify:track:55Am8neGJkdj2ADaM3aw5H,https://api.spotify.com/v1/tracks/55Am8neGJkdj2ADaM3aw5H,https://api.spotify.com/v1/audio-analysis/55Am8neGJkdj2ADaM3aw5H,208827,4
15,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,audio_features,2gam98EZKrF9XuOkU13ApN,spotify:track:2gam98EZKrF9XuOkU13ApN,https://api.spotify.com/v1/tracks/2gam98EZKrF9XuOkU13ApN,https://api.spotify.com/v1/audio-analysis/2gam98EZKrF9XuOkU13ApN,242293,4
16,0.647,0.803,11,-5.36,0,0.389,0.137,4.06e-06,0.0952,0.55,82.108,audio_features,3VxOgQ9o1aKonFx4d5lPR3,spotify:track:3VxOgQ9o1aKonFx4d5lPR3,https://api.spotify.com/v1/tracks/3VxOgQ9o1aKonFx4d5lPR3,https://api.spotify.com/v1/audio-analysis/3VxOgQ9o1aKonFx4d5lPR3,173880,4
17,0.819,0.642,5,-7.037,1,0.189,0.336,0.0,0.0735,0.452,138.026,audio_features,0y9fkzOaaQy4Up22BGUbIp,spotify:track:0y9fkzOaaQy4Up22BGUbIp,https://api.spotify.com/v1/tracks/0y9fkzOaaQy4Up22BGUbIp,https://api.spotify.com/v1/audio-analysis/0y9fkzOaaQy4Up22BGUbIp,129241,4
